Symbol,Beta
DHI,1.509645
EOG,1.521922
BBY,1.533847
F,1.540161
HES,1.560154
C,1.591371
HBI,1.594177
EXPE,1.611013
HCA,1.643633
DISH,1.836548
GPS,1.927043
DXC,1.967379
ETSY,1.987372
FCX,2.015433
FANG,2.032269
HAL,2.13995
CCL,2.227288
DVN,2.361978
CZR,2.895826
ABMD,
ABBV,0.586811
PFE,0.589968
MCK,0.591722
WRB,0.617327
MCD,0.624693
TRV,0.625394
JKHY,0.641178
ROL,0.646089
MDLZ,0.661171
RSG,0.661873
ABT,0.665731
LMT,0.679059
UNH,0.692388
AJG,0.701508
KHC,0.702911
TTWO,0.702911
LHX,0.71203
PM,0.717292
MDT,0.720799
WM,0.725008
SRE,0.730971
UDR,0.736232
RTX,0.73974
TSN,0.743247
MAA,0.749912
VMC,0.759031
ZTS,0.759382
MKTX,0.764994
LDOS,0.769554
AKAM,0.784286
TMO,0.787443
PPL,0.789898
ADM,0.792353
O,0.795159
TYL,0.812697
MTB,0.813398
OTIS,0.817914
TSCO,0.826376
L,0.82813
VRSK,0.838653
STE,0.847421
OMC,0.851981
AMCR,0.85277
LIN,0.853735
J,0.854086
TAP,0.85584
APD,0.857593
WAT,0.864959
MLM,0.866713
MNST,0.868467
HIG,0.869519
ORLY,0.878989
COO,0.891616
WU,0.898632
PKG,0.900736
TJX,0.909505
MSFT,0.915117
AVB,0.918625
MMC,0.919326
IRM,0.923886
MSI,0.925289
AES,0.927393
KMI,0.927744
POOL,0.933005
SYK,0.933707
NWL,0.936162
SBUX,0.938267
AFL,0.938618
DGX,0.942827
JNPR,0.943528
PCAR,0.944931
MMM,0.96317
ARE,0.963872
NDAQ,0.965626
V,0.965976
NRG,0.971939
TFX,0.972991
PAYX,0.9772
NVR,0.977551
YUM,0.983514
AVY,0.987723
ROST,0.987723
VRSN,0.994387
USB,1.001052
PLD,1.003858
ZBH,1.00491
ORCL,1.008067
TXN,1.023851
ROP,1.025955
NOW,1.02806
LUMN,1.037179
WELL,1.043142
A,1.045247
TGT,1.045598
LH,1.061381
KEYS,1.064538
RJF,1.064889
XYL,1.068397
SHW,1.074009
ODFL,1.076113
UPS,1.078218
TDY,1.078919
MET,1.07927
WST,1.080673
PWR,1.085233
LOW,1.087688
SYY,1.089793
PNR,1.090143
GOOGL,1.090845
GOOG,1.090845
PKI,1.095755
STX,1.095755
TFC,1.098912
NTRS,1.100666
SNA,1.104173
ALLE,1.104524
JPM,1.104524
UNP,1.104524
MA,1.105226
NKE,1.105927
SPGI,1.116099
MSCI,1.131182
PNC,1.136794
AAP,1.137144
JBHT,1.140652
MPWR,1.142055
ADI,1.143809
LUV,1.148368
REG,1.159593
AIG,1.163802
PPG,1.166608
LVS,1.168361
ZION,1.170466
WFC,1.17222
NTAP,1.173623
GWW,1.174675
PTC,1.176078
MTD,1.177832
SNPS,1.180287
VTRS,1.187653
TT,1.192914
AXP,1.195019
MAS,1.19572
WRK,1.204138
WMB,1.207997
CRM,1.2094
VTR,1.215363
IPGP,1.22343
AME,1.223781
LYB,1.226236
ANSS,1.236057
RF,1.240266
ACN,1.241669
ANET,1.244826
APH,1.24693
SEE,1.24693
UHS,1.249386
JCI,1.250438
AMZN,1.253595
AOS,1.256401
NFLX,1.258856
ADBE,1.271483
MHK,1.279551
SWKS,1.289722
MCO,1.294984
AAPL,1.297088
QCOM,1.298842
DIS,1.299544
NSC,1.30235
ULTA,1.30235
PFG,1.3027
KEY,1.308663
PYPL,1.309014
LYV,1.31182
SWK,1.312872
TROW,1.315678
PHM,1.317432
RHI,1.318835
NWSA,1.319887
NWS,1.319887
TEL,1.319887
LEG,1.330761
MS,1.349
PSX,1.359172
VNO,1.361978
LKQ,1.367239
TDG,1.369694
KLAC,1.379165
MU,1.388284
PAYC,1.389337
RL,1.392844
PRU,1.401262
IQV,1.406874
LEN,1.410733
BAC,1.41424
UAL,1.435636
PXD,1.436338
ROK,1.438442
BKR,1.453875
TPR,1.462293
KIM,1.462644
QRVO,1.477025
WAB,1.47913
VFC,1.482637
TXT,1.486495
AMP,1.487548
LRCX,1.487548
WY,1.492809
WHR,1.50263
ADSK,1.512101
MTCH,1.512345
PH,1.512451
NXPI,1.5349
MOS,1.538758
ALK,1.53981
SPG,1.545422
TER,1.547877
AAL,1.552086
SIVB,1.569273
MCHP,1.573132
TRMB,1.57699
ALB,1.581199
MAR,1.588916
MPC,1.591371
ALGN,1.597685
NUE,1.603297
AMAT,1.60505
STT,1.609259
SYF,1.619431
UAA,1.625394
UA,1.625394
OKE,1.6282
VLO,1.63732
ZBRA,1.662925
WDC,1.6745
MRNA,1.698815
NVDA,1.757278
BBWI,1.757979
SLB,1.789898
LNC,1.79095
OXY,1.792704
URI,1.854437
AMD,1.948439
WYNN,2.011925
APTV,2.042441
MGM,2.059277
TSLA,2.070501
PVH,2.07471
PENN,2.219922
MRO,2.384426
RCL,2.468607
NCLH,2.509996
APA,3.514556
